50
0	10	14	40	46	15	33	50	23	4	5	30	17	36	49	26	8	2	42	11	31	4	8	22	22	9	8	26	26	33	43	31	29	24	28	41	35	39	43	10	14	44	19	35	20	7	49	20	25	33
10	0	38	48	28	42	19	8	43	10	3	8	34	32	49	45	35	11	41	45	50	26	10	3	14	44	14	25	33	9	20	43	3	30	7	9	12	44	11	50	46	41	1	6	38	31	17	11	28	18
14	38	0	37	34	49	42	44	31	11	4	38	11	1	10	50	15	33	34	13	49	31	48	25	35	1	7	46	49	24	39	22	29	23	38	10	24	11	33	14	37	42	23	6	9	23	7	6	48	38
40	48	37	0	22	29	23	18	27	14	43	6	37	39	10	41	44	27	30	23	11	35	14	20	30	1	46	26	18	24	4	23	35	50	26	28	2	1	11	45	6	39	13	45	45	35	47	25	46	47
46	28	34	22	0	5	50	3	1	47	43	46	8	33	45	40	35	18	4	27	15	21	23	25	5	16	35	4	26	3	17	28	2	46	33	26	36	2	20	13	18	47	48	6	34	12	41	14	6	47
15	42	49	29	5	0	37	14	41	36	40	43	30	12	1	26	26	35	26	17	29	3	44	18	1	48	31	4	11	28	15	49	46	37	40	15	38	4	47	22	48	31	38	28	2	34	23	25	42	23
33	19	42	23	50	37	0	11	33	43	6	40	30	48	47	37	21	14	44	20	10	40	36	49	45	38	18	7	11	45	18	33	12	37	47	8	6	50	5	7	35	44	48	6	11	15	50	21	45	14
50	8	44	18	3	14	11	0	1	19	19	37	4	26	32	19	46	44	32	6	35	36	47	13	27	42	6	15	12	13	29	1	21	15	8	43	13	50	41	26	38	14	39	4	38	25	29	42	1	25
23	43	31	27	1	41	33	1	0	18	22	39	35	38	14	10	5	11	22	44	1	35	21	10	24	1	35	15	36	46	37	4	3	29	2	23	1	33	22	28	33	35	29	47	8	18	50	13	10	20
4	10	11	14	47	36	43	19	18	0	46	20	9	24	7	13	8	7	28	31	19	23	44	50	29	19	32	17	19	49	10	7	45	4	4	30	44	29	39	39	37	18	3	18	31	7	33	9	10	3
5	3	4	43	43	40	6	19	22	46	0	33	20	35	9	47	16	38	15	19	6	28	23	30	22	11	11	37	2	29	6	45	34	33	2	1	44	9	19	27	30	22	44	39	25	39	30	21	25	46
30	8	38	6	46	43	40	37	39	20	33	0	26	3	48	17	21	43	37	17	12	38	47	24	13	42	35	3	48	9	17	11	26	34	28	24	29	30	49	4	41	49	15	23	11	30	32	41	38	45
17	34	11	37	8	30	30	4	35	9	20	26	0	35	10	19	17	11	48	20	8	15	19	6	17	43	49	42	13	14	44	25	33	31	29	50	22	47	13	17	19	14	42	18	38	38	38	13	42	45
36	32	1	39	33	12	48	26	38	24	35	3	35	0	47	15	49	17	22	30	3	4	4	39	6	39	21	50	3	14	1	42	44	10	5	33	11	41	11	17	25	14	22	33	45	39	31	15	44	33
49	49	10	10	45	1	47	32	14	7	9	48	10	47	0	5	38	42	6	28	35	8	15	44	34	38	45	29	38	19	3	13	12	18	11	38	32	5	18	4	32	36	45	11	50	42	40	27	20	21
26	45	50	41	40	26	37	19	10	13	47	17	19	15	5	0	1	43	29	6	30	4	33	10	13	9	22	5	1	45	13	47	7	26	12	43	44	33	37	12	21	19	5	17	12	4	36	16	22	15
8	35	15	44	35	26	21	46	5	8	16	21	17	49	38	1	0	5	32	33	32	10	43	16	20	33	25	34	8	22	15	29	37	48	41	26	41	24	21	32	17	22	17	15	41	14	26	37	32	9
2	11	33	27	18	35	14	44	11	7	38	43	11	17	42	43	5	0	24	49	3	47	17	7	1	12	22	34	28	2	27	27	17	49	34	32	24	25	19	44	2	42	17	19	27	38	29	11	41	3
42	41	34	30	4	26	44	32	22	28	15	37	48	22	6	29	32	24	0	23	39	38	20	6	1	18	1	29	6	12	20	8	28	17	40	28	31	31	11	35	37	48	1	36	11	17	33	8	39	16
11	45	13	23	27	17	20	6	44	31	19	17	20	30	28	6	33	49	23	0	13	36	45	12	27	30	10	28	25	36	49	47	43	43	44	46	26	34	12	44	13	16	28	12	24	25	6	29	10	9
31	50	49	11	15	29	10	35	1	19	6	12	8	3	35	30	32	3	39	13	0	27	48	23	41	35	4	28	21	31	49	28	18	7	10	31	13	33	18	46	42	15	24	15	6	6	49	8	38	31
4	26	31	35	21	3	40	36	35	23	28	38	15	4	8	4	10	47	38	36	27	0	48	2	38	11	25	3	21	40	3	1	35	8	45	31	32	48	38	44	22	32	15	46	12	1	48	37	26	28
8	10	48	14	23	44	36	47	21	44	23	47	19	4	15	33	43	17	20	45	48	48	0	22	40	14	36	28	4	34	46	35	48	1	43	16	33	11	37	26	44	14	19	16	50	46	37	28	25	15
22	3	25	20	25	18	49	13	10	50	30	24	6	39	44	10	16	7	6	12	23	2	22	0	38	45	43	23	44	5	13	43	12	41	45	28	9	8	49	47	7	23	36	44	7	47	16	19	15	46
22	14	35	30	5	1	45	27	24	29	22	13	17	6	34	13	20	1	1	27	41	38	40	38	0	28	13	11	45	20	45	17	46	13	19	28	10	7	18	20	29	3	50	9	22	49	30	9	24	14
9	44	1	1	16	48	38	42	1	19	11	42	43	39	38	9	33	12	18	30	35	11	14	45	28	0	36	11	17	8	19	2	28	47	38	32	29	23	1	50	1	38	30	40	26	21	4	10	9	38
8	14	7	46	35	31	18	6	35	32	11	35	49	21	45	22	25	22	1	10	4	25	36	43	13	36	0	48	49	17	37	28	16	34	13	47	12	13	27	23	20	8	12	42	26	43	48	42	14	35
26	25	46	26	4	4	7	15	15	17	37	3	42	50	29	5	34	34	29	28	28	3	28	23	11	11	48	0	15	28	11	2	34	21	50	32	42	16	32	15	12	5	7	32	15	3	25	11	40	17
26	33	49	18	26	11	11	12	36	19	2	48	13	3	38	1	8	28	6	25	21	21	4	44	45	17	49	15	0	41	46	30	23	7	20	14	31	30	21	40	37	40	19	30	16	29	48	49	27	10
33	9	24	24	3	28	45	13	46	49	29	9	14	14	19	45	22	2	12	36	31	40	34	5	20	8	17	28	41	0	18	47	23	36	7	1	18	13	10	33	9	48	28	42	1	45	11	4	32	38
43	20	39	4	17	15	18	29	37	10	6	17	44	1	3	13	15	27	20	49	49	3	46	13	45	19	37	11	46	18	0	41	15	44	17	25	3	49	18	34	6	10	22	21	32	17	40	5	22	32
31	43	22	23	28	49	33	1	4	7	45	11	25	42	13	47	29	27	8	47	28	1	35	43	17	2	28	2	30	47	41	0	27	20	35	45	20	14	22	4	28	39	24	9	45	50	23	38	9	14
29	3	29	35	2	46	12	21	3	45	34	26	33	44	12	7	37	17	28	43	18	35	48	12	46	28	16	34	23	23	15	27	0	11	23	11	13	39	22	5	24	26	23	32	49	7	42	34	46	4
24	30	23	50	46	37	37	15	29	4	33	34	31	10	18	26	48	49	17	43	7	8	1	41	13	47	34	21	7	36	44	20	11	0	13	40	30	14	23	8	34	15	3	31	10	23	12	11	23	41
28	7	38	26	33	40	47	8	2	4	2	28	29	5	11	12	41	34	40	44	10	45	43	45	19	38	13	50	20	7	17	35	23	13	0	31	45	42	2	28	31	46	25	1	5	15	10	40	3	24
41	9	10	28	26	15	8	43	23	30	1	24	50	33	38	43	26	32	28	46	31	31	16	28	28	32	47	32	14	1	25	45	11	40	31	0	11	22	6	6	15	47	11	49	39	37	50	8	24	40
35	12	24	2	36	38	6	13	1	44	44	29	22	11	32	44	41	24	31	26	13	32	33	9	10	29	12	42	31	18	3	20	13	30	45	11	0	26	2	30	29	26	30	18	4	36	48	17	2	45
39	44	11	1	2	4	50	50	33	29	9	30	47	41	5	33	24	25	31	34	33	48	11	8	7	23	13	16	30	13	49	14	39	14	42	22	26	0	29	48	43	29	21	2	49	21	34	47	14	23
43	11	33	11	20	47	5	41	22	39	19	49	13	11	18	37	21	19	11	12	18	38	37	49	18	1	27	32	21	10	18	22	22	23	2	6	2	29	0	24	8	14	24	41	41	8	20	39	38	13
10	50	14	45	13	22	7	26	28	39	27	4	17	17	4	12	32	44	35	44	46	44	26	47	20	50	23	15	40	33	34	4	5	8	28	6	30	48	24	0	25	27	9	29	32	10	44	31	36	33
14	46	37	6	18	48	35	38	33	37	30	41	19	25	32	21	17	2	37	13	42	22	44	7	29	1	20	12	37	9	6	28	24	34	31	15	29	43	8	25	0	50	41	6	25	23	35	9	13	15
44	41	42	39	47	31	44	14	35	18	22	49	14	14	36	19	22	42	48	16	15	32	14	23	3	38	8	5	40	48	10	39	26	15	46	47	26	29	14	27	50	0	38	38	44	25	47	24	28	45
19	1	23	13	48	38	48	39	29	3	44	15	42	22	45	5	17	17	1	28	24	15	19	36	50	30	12	7	19	28	22	24	23	3	25	11	30	21	24	9	41	38	0	33	8	6	28	15	3	26
